Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Ankara,101110651,BESLENME VE DİYETETİK,Devlet,Ankara Ü.,Sağlık Bilimleri Fak.,Örgün,-,"391,5468",109.400,27,27,0,"100,0%",6.291,-,"381,7609",103.109,30,30,-,"100,0%",-
Ankara,200611443,BESLENME VE DİYETETİK,Vakıf,Başkent Ü.,Sağlık Bilimleri Fak.,Burslu,-,"390,4143",110.900,5,5,0,"100,0%",5.227,-,"379,7056",105.673,5,5,-,"100,0%",-
İstanbul,200110141,BESLENME VE DİYETETİK,Vakıf,Acıbadem Mehmet Ali Aydınlar Ü.,Sağlık Bilimleri Fak.,Burslu,-,"389,2494",112.400,4,4,0,"100,0%",22.092,-,"o
392,8896",90.308,5,5,-,"100,0%",-
İzmir,203590273,BESLENME VE DİYETETİK,Vakıf,İzmir Ekonomi Ü.,Sağlık Bilimleri Fak.,Burslu,-,"388,1708",113.800,3,3,0,"100,0%",-25.442,-,"355,4204",139.242,4,4,-,"100,0%",-
İstanbul,200510967,BESLENME VE DİYETETİK,Vakıf,Bahçeşehir Ü.,Sağlık Bilimleri Fak.,Burslu,-,"387,4252",114.800,4,4,0,"100,0%",19.434,"c
-","388,4231",95.366,5,5,-,"100,0%",-
İstanbul,203110105,BESLENME VE DİYETETİK,Vakıf,İstanbul Medipol Ü.,Sağlık Bilimleri Fak.,Burslu,-,"383,6755",119.800,5,5,0,"100,0%",14.868,-,"380,2999",104.932,5,5,-,"100,0%",-
İzmir,103410942,BESLENME VE DİYETETİK,Devlet,Ege Ü.,Sağlık Bilimleri Fak.,Örgün,-,"382,3973",121.600,27,27,0,"100,0%",".
7.186",-,"372,7443",114.414,30,30,-,"100,0%",-
Ankara,104111243,BESLENME VE DİYETETİK,Devlet,Gazi Ü.,Sağlık Bilimleri Fak.,Örgün,-,"379,5918",125.600,27,27,0,"100,0%",3.534,-,"366,9681",122.066,30,30,-,"100,0%",-
İstanbul,107210986,BESLENME VE DİYETETİK,Devlet,Marmara Ü.,Sağlık Bilimleri Fak.,Örgün,-,"372,9317",135.200,27,27,0,"m
100,0%",1.751,-,"359,1349",133.449,30,30,-,"100,0%",-
Ankara,209210041,BESLENME VE DİYETETİK,Vakıf,Ankara Medipol Ü.,Sağlık Bilimleri Fak.,Burslu,-,"372,4445",135.900,4,4,0,"100,0%",26.116,-,"376,3715",109.784,5,5,-,"100,0%",-
