0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
İstanbul,105610343,Devlet,İstanbul Ü.,Fen Fak.,Örgün,-,,"320,5565",242.700,80,80,0,"100,0%",,-1.028,,-,,"306,8808",243.728,80,80,-,"100,0%",,-
İzmir,103410184,Devlet,Ege Ü.,Fen Fak.,Örgün,-,,"311,3842",269.900,55,55,0,"100,0%",,-7.958,,-,,"296,2272",277.858,55,55,-,"100,0%",,-
Kayseri,103510102,Devlet,Erciyes Ü.,Fen Fak.,Örgün,-,,"280,7705",390.700,40,40,0,"100,0%",,-21.522,,-,,"266,5789",412.222,40,40,-,"100,0%",,-
Erzurum,101490406,Devlet,Atatürk Ü.,Fen Fak.,Örgün,-,,"262,6385",497.200,30,30,0,"100,0%",,13.247,,-,,"255,8022",483.953,30,30,-,"100,0%",,-
BAHÇE BİTKİLERİ,,,,www.unsalim.com,,,,2025 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,SIRALAMA,,2025 ÜCRET,,"m
2024 GENEL YERLEŞTİRME BİLGİLERİ",,,,,,,2024 ÜCRET
Lokasyon,Kodu,Ün.Türü,Üniversite Adı,Fakültesi & Yüksekokulu,Öğr.Şekli,Özelliği,.,Taban P.,Yk.Tab.S.,Kon.,Yer.,Boş,Dol.%,.,DEĞİŞİMİ,.,Bilgisi,.,Taban P.,Taban S.,Kon.,Yer.,Boş,Dol.%,.,Bilgisi
İzmir,103410633,Devlet,Ege Ü.,Ziraat Fak.,Örgün,-,,"313,1818",264.200,30,30,0,"100,0%",,-4.177,,-,,"299,0031",268.377,30,30,-,"100,0%",,-
Antalya,100710481,Devlet,Akdeniz Ü.,Ziraat Fak.,Örgün,-,,"306,3455",286.300,30,30,0,"100,0%",,-10.463,,-,,"o
290,9863",296.763,30,30,-,"100,0%",,-
Ankara,101110924,Devlet,Ankara Ü.,Ziraat Fak.,Örgün,-,,"295,4819",325.700,45,45,0,"100,0%",,10.389,,-,,"286,2838",315.311,45,45,-,"100,0%",,-
Adana,102910507,Devlet,Çukurova Ü.,Ziraat Fak.,Örgün,-,,"294,8947",328.000,40,40,0,"100,0%",,-16.479,,"c
-",,"279,5182",344.479,40,40,-,"100,0%",,-
Eskişehir,103810408,Devlet,Eskişehir Osmangazi Ü.,Ziraat Fak.,Örgün,-,,"291,2610",343.000,20,20,0,"100,0%",,-3.296,,-,,"279,1162",346.296,20,20,-,"100,0%",,-
Bursa,109710499,Devlet,Bursa Uludağ Ü.,Ziraat Fak.,Örgün,-,,"287,4768",359.400,40,40,0,"100,0%",,".
-16.680",,-,,"273,0063",376.080,40,40,-,"100,0%",,-
Samsun,108210708,Devlet,Ondokuz Mayıs Ü.,Ziraat Fak.,Örgün,-,,"284,0152",375.300,25,25,0,"100,0%",,-37.050,,-,,"266,5588",412.350,25,25,-,"100,0%",,-
Isparta,112510671,Devlet,Isparta Uygulamalı Bilimler Ü.,Ziraat Fak.,Örgün,-,,"283,1696",379.400,25,25,0,"m
100,0%",,-7.116,,-,,"271,0452",386.516,25,25,-,"100,0%",,-
Çanakkale,102710527,Devlet,Çanakkale Onsekiz Mart Ü.,Ziraat Fak.,Örgün,-,,"282,0910",384.400,20,20,0,"100,0%",,-18.806,,-,,"268,1002",403.206,20,20,-,"100,0%",,-
Konya,108910958,Devlet,Selçuk Ü.,Ziraat Fak.,Örgün,-,,"275,0547",420.900,30,30,0,"100,0%",,-23.954,,-,,"261,3321",444.854,30,30,-,"100,0%",,-
Aydın,100310334,Devlet,Aydın Adnan Menderes Ü.,Ziraat Fak.,Örgün,-,,"273,1125",431.600,40,"i
40",0,"100,0%",,-1.154,,-,,"263,2080",432.754,40,40,-,"100,0%",,-
Muğla,107690340,Devlet,Muğla Sıtkı Koçman Ü.,Fethiye Ziraat Fak.,Örgün,-,,"271,4267",441.300,"l
20",20,0,"100,0%",,-8.576,,-,,"260,5714",449.876,20,20,-,"100,0%",,-
Kocaeli,106990700,Devlet,Kocaeli Ü.,Ziraat Fak.,Örgün,-,,"268,5068",459.000,40,40,0,"100,0%",,-60.084,,-,,"251,4159",519.084,40,40,-,"100,0%",,-
Diyarbakır,103010567,Devlet,Dicle Ü.,Ziraat Fak.,Örgün,-,,"267,6555","a
464.200",30,30,0,"100,0%",,-77.098,,-,,"248,8388",541.298,30,30,-,"100,0%",,-
Kayseri,103590499,Devlet,Erciyes Ü.,Ziraat Fak.,Örgün,-,,"265,0200",481.200,30,30,0,"100,0%",,-16.901,,-,,"253,9836",498.101,30,30,-,"100,0%",,-
Uşak,109810374,Devlet,Uşak Ü.,Ziraat Fak.,Örgün,-,,"s
264,7367",483.100,20,20,0,"100,0%",,-10.764,,-,,"254,5138",493.864,20,20,-,"100,0%",,-
Tekirdağ,107910158,Devlet,Tekirdağ Namık Kemal Ü.,Ziraat Fak.,Örgün,-,,"264,6393",483.800,25,25,0,"100,0%",,-39.431,,-,,"250,9189",523.231,25,25,-,"100,0%",,-
Ordu,108310107,Devlet,Ordu Ü.,Ziraat Fak.,Örgün,"n
-",,"263,1073",494.000,30,30,0,"100,0%",,-57.215,,-,,"247,7271",551.215,30,30,-,"100,0%",,-
Sakarya,111890212,Devlet,Sakarya Uygulamalı Bilimler Ü.,Ziraat Fak.,Örgün,-,,"263,0203",494.600,30,30,0,"100,0%",,-42.111,,-,,"249,3641",536.711,30,30,-,"100,0%",,-
Denizli,108690380,Devlet,Pamukkale Ü.,Ziraat Fak.,"u
Örgün",-,,"259,5033",519.600,30,30,0,"100,0%",,-17.253,,-,,"249,3465",536.853,30,30,-,"100,0%",,-
Bolu,100110681,Devlet,Bolu Abant İzzet Baysal Ü.,Ziraat Fak.,Örgün,-,,"258,7125",525.300,30,30,0,"100,0%",,-23.463,,-,,"248,0032",548.763,30,30,-,"100,0%",,-
Van,110210427,Devlet,Van Yüzüncü Yıl Ü.,".
Ziraat Fak.",Örgün,-,,"258,6943",525.500,20,20,0,"100,0%",,-61.398,,-,,"243,9918",586.898,20,20,-,"100,0%",,-
