Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
K.Maraş,106010046,COĞRAFYA,Devlet,Kahramanmaraş Sütçü İmam Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"273,2142",440.800,35,35,0,"100,0%",18.851,-,"296,4120",421.949,40,40,-,"100,0%",-
Giresun,104510162,COĞRAFYA,Devlet,Giresun Ü.,Fen-Edebiyat Fak.,Örgün,-,"271,8665",453.100,45,45,0,"100,0%",26.578,-,"295,8076",426.522,60,60,-,"100,0%",-
Uşak,109890202,COĞRAFYA,Devlet,Uşak Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"271,1238",459.200,40,40,0,"100,0%",4.785,-,"292,1585",454.415,60,60,-,"100,0%",-
Bilecik,101910097,COĞRAFYA,Devlet,Bilecik Şeyh Edebali Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"269,3599",474.600,40,40,0,"100,0%",-26.061,-,"286,5087",500.661,50,50,-,"100,0%",-
Burdur,107310358,COĞRAFYA,Devlet,Burdur Mehmet Akif Ersoy Ü.,Fen-Edebiyat Fak.,Örgün,-,"268,3942",483.400,50,50,0,"100,0%",7.714,-,"289,5111",475.686,60,60,-,"100,0%",-
Hatay,107710381,COĞRAFYA,Devlet,Hatay Mustafa Kemal Ü.,Fen-Edebiyat Fak.,Örgün,-,"267,4402",492.100,30,30,0,"100,0%",139.359,-,"306,1983",352.741,20,20,-,"100,0%",-
Kastamonu,106410378,COĞRAFYA,Devlet,Kastamonu Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"259,8257",563.200,40,40,0,"100,0%",-522,-,"279,3485",563.722,50,50,-,"100,0%",-
Niğde,108190331,COĞRAFYA,Devlet,Niğde Ömer Halisdemir Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"258,8776",572.300,40,40,0,"100,0%",62.318,-,"285,4259",509.982,50,50,-,"100,0%",-
Kırşehir,100610191,COĞRAFYA,Devlet,Kırşehir Ahi Evran Ü.,Fen-Edebiyat Fak.,Örgün,-,"255,9974",600.200,40,40,0,"100,0%",49.009,-,"280,7220",551.191,50,50,-,"100,0%",-
Tokat,104310579,COĞRAFYA,Devlet,Tokat Gaziosmanpaşa Ü.,Fen-Edebiyat Fak.,Örgün,-,"254,1932",617.900,40,40,0,"100,0%",85.333,-,"282,8116",532.567,50,50,-,"100,0%",-
Osmaniye,108570501,COĞRAFYA,Devlet,Osmaniye Korkut Ata Ü.,Kadirli Sosyal ve Beşeri Bilimler Fak.,Örgün,-,"252,9261",630.100,35,35,0,"100,0%",104.298,-,"283,5721",525.802,36,36,-,"100,0%",-
Erzincan,103610313,COĞRAFYA,Devlet,Erzincan Binali Yıldırım Ü.,Fen-Edebiyat Fak.,Örgün,-,"251,9205",640.000,40,40,0,"100,0%",49.468,-,"276,4689",590.532,50,50,-,"100,0%",-
Çankırı,102890270,COĞRAFYA,Devlet,Çankırı Karatekin Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"251,0477",648.700,40,40,0,"100,0%",8.177,-,"271,2000",640.523,50,50,-,"100,0%",-
